FIPS_STATE,INSURANCE,FIPS_COUNTY,AGECAT2,AGECAT6,RACECAT,SEXCAT,DEMENTIACAT,atc,bene_cnt,inc_cnt,prev_cnt,covid_cnt,mort_cnt
01,,1,,,,,,,10445,576,1768,181,267
01,,3,,,,,,,55123,2729,8257,700,1162
01,,5,,,,,,,5734,209,751,114,146
01,,7,,,,,,,4816,223,663,87,102
01,,9,,,,,,,10198,508,1433,220,250
01,,11,,,,,,,1473,73,211,27,34
01,,13,,,,,,,4783,259,777,116,134
01,,15,,,,,,,29270,1364,4124,668,766
01,,17,,,,,,,9209,491,1509,199,289
01,,19,,,,,,,6230,278,743,86,137
01,,21,,,,,,,8588,353,1043,169,209
01,,23,,,,,,,3523,217,633,72,92
01,,25,,,,,,,6840,401,1077,109,194
01,,27,,,,,,,3498,147,457,92,95
01,,29,,,,,,,3375,147,428,84,91
01,,31,,,,,,,10643,460,1437,143,240
01,,33,,,,,,,13462,590,1786,245,327
01,,35,,,,,,,3356,139,462,65,83
01,,37,,,,,,,2991,101,310,27,45
01,,39,,,,,,,10073,429,1494,284,256
01,,41,,,,,,,3520,171,546,87,96
01,,43,,,,,,,19883,970,2690,325,493
01,,45,,,,,,,11534,529,1634,270,286
01,,47,,,,,,,10621,454,1485,302,266
01,,49,,,,,,,15221,705,1877,275,363
01,,51,,,,,,,18090,999,2909,337,472
01,,53,,,,,,,8655,401,1219,166,214
01,,55,,,,,,,25822,1198,3540,705,673
01,,57,,,,,,,4023,208,643,71,112
01,,59,,,,,,,7163,285,970,160,166
01,,61,,,,,,,6878,310,937,132,168
01,,63,,,,,,,2204,104,331,42,63
01,,65,,,,,,,4478,217,700,101,126
01,,67,,,,,,,4750,170,574,53,94
01,,69,,,,,,,23640,1092,3189,392,531
01,,71,,,,,,,14040,585,1695,197,329
01,,73,,,,,,,148853,7309,22164,2793,3861
01,,75,,,,,,,3997,183,602,142,115
01,,77,,,,,,,22940,1087,3379,468,593
01,,79,,,,,,,6191,247,723,115,132
01,,81,,,,,,,22193,1070,3180,325,504
01,,83,,,,,,,15472,593,1761,254,342
01,,85,,,,,,,2452,135,386,56,50
01,,87,,,,,,,5080,227,732,86,142
01,,89,,,,,,,69644,2981,8719,950,1495
01,,91,,,,,,,4704,236,707,70,118
01,,93,,,,,,,6882,384,1035,162,205
01,,95,,,,,,,21905,1001,3319,534,570
01,,97,,,,,,,84126,4442,12350,1503,2078
01,,99,,,,,,,4898,229,607,102,122
01,,101,,,,,,,44573,2714,7778,1003,1293
01,,103,,,,,,,27966,1225,3644,526,689
01,,105,,,,,,,2212,104,361,68,66
01,,107,,,,,,,4892,259,766,105,142
01,,109,,,,,,,6702,313,988,119,167
01,,111,,,,,,,5571,243,654,126,115
01,,113,,,,,,,13333,668,2003,183,326
01,,115,,,,,,,17053,998,2543,339,449
01,,117,,,,,,,25288,1100,3250,382,588
01,,119,,,,,,,3090,182,468,78,81
01,,121,,,,,,,19163,788,2392,296,387
01,,123,,,,,,,10993,498,1647,273,292
01,,125,,,,,,,34815,1995,5765,815,976
01,,127,,,,,,,19267,892,2539,374,494
01,,129,,,,,,,4099,230,597,78,82
01,,131,,,,,,,3196,135,399,54,66
01,,133,,,,,,,6384,251,825,133,148
01,1,1,,,,,,19406,5214,276,813,,138
01,1,3,,,,,,18591,28952,1393,4282,373,697
01,1,5,,,,,,23987,2821,106,362,62,74
01,1,7,,,,,,27296,2109,93,297,53,56
01,1,9,,,,,,23037,4357,195,562,87,115
01,1,11,,,,,,22361,686,42,109,12,21
01,1,13,,,,,,26574,3053,166,482,71,89
01,1,15,,,,,,23466,18994,868,2585,439,522
01,1,17,,,,,,21208,5353,287,845,125,188
01,1,19,,,,,,23520,3689,147,407,51,94
01,1,21,,,,,,23842,3465,123,373,55,83
01,1,23,,,,,,22890,2481,155,465,61,76
01,1,25,,,,,,20323,3421,169,506,55,108
01,1,27,,,,,,22945,2117,91,293,69,65
01,1,29,,,,,,22393,2333,93,291,64,66
01,1,31,,,,,,20494,7217,314,1015,102,191
01,1,33,,,,,,21271,8806,377,1185,185,236
01,1,35,,,,,,23342,2251,96,301,41,66
01,1,37,,,,,,20188,1665,50,161,14,28
01,1,39,,,,,,23199,6917,290,1057,218,196
01,1,41,,,,,,22466,2030,102,309,47,57
01,1,43,,,,,,21738,11312,523,1488,187,290
01,1,45,,,,,,19304,7413,340,1095,199,218
01,1,47,,,,,,25616,5354,229,804,218,179
01,1,49,,,,,,21924,9441,434,1145,178,255
01,1,51,,,,,,20388,9527,514,1451,185,254
01,1,53,,,,,,22608,4864,193,666,109,146
01,1,55,,,,,,25874,13831,615,1882,451,427
01,1,57,,,,,,20159,2680,150,434,51,79
01,1,59,,,,,,21932,5165,206,678,111,134
01,1,61,,,,,,20034,4400,194,596,92,126
01,1,63,,,,,,22388,1370,58,200,28,41
01,1,65,,,,,,24185,2949,144,456,74,97
01,1,67,,,,,,18562,2510,84,296,31,65
01,1,69,,,,,,21457,13788,629,1883,253,383
01,1,71,,,,,,21116,9140,353,1029,124,215
01,1,73,,,,,,23862,66886,2823,8762,1249,1716
01,1,75,,,,,,23137,3034,146,444,92,82
01,1,77,,,,,,17759,14978,702,2239,341,426
01,1,79,,,,,,20226,3694,121,395,57,76
01,1,81,,,,,,19000,12700,611,1784,194,311
01,1,83,,,,,,19828,9512,335,983,140,199
01,1,85,,,,,,18004,951,39,126,13,19
01,1,87,,,,,,21067,2492,112,348,44,78
01,1,89,,,,,,20822,46933,1891,5557,607,1042
01,1,91,,,,,,21928,3008,145,450,48,82
01,1,93,,,,,,21567,5049,281,798,133,162
01,1,95,,,,,,20990,14224,607,2151,367,405
01,1,97,,,,,,23173,34202,1563,4474,628,869
01,1,99,,,,,,26906,2624,121,339,66,69
01,1,101,,,,,,21274,21813,1237,3525,459,659
01,1,103,,,,,,20031,18030,770,2317,364,492
01,1,105,,,,,,24484,1180,60,239,,54
01,1,107,,,,,,22277,3409,172,515,64,100
01,1,109,,,,,,20173,3652,162,511,73,99
01,1,111,,,,,,24822,3506,141,394,77,87
01,1,113,,,,,,21969,7973,383,1139,108,225
01,1,115,,,,,,21959,7623,361,993,134,188
01,1,117,,,,,,23907,11753,448,1348,186,259
01,1,119,,,,,,23388,2037,123,328,62,61
01,1,121,,,,,,22300,9469,365,1165,162,223
01,1,123,,,,,,22791,6037,264,885,139,166
01,1,125,,,,,,22387,19414,1039,3036,427,572
01,1,127,,,,,,24323,8896,427,1133,174,257
01,1,129,,,,,,18468,2547,145,372,62,55
01,1,131,,,,,,23104,1981,76,235,30,38
01,1,133,,,,,,25853,4014,166,539,101,112
01,2,1,,,,,,,5231,299,955,,129
01,2,3,,,,,,,26171,1337,3975,327,465
01,2,5,,,,,,,2913,103,389,52,72
01,2,7,,,,,,,2707,130,366,34,46
01,2,9,,,,,,,5841,313,871,133,135
01,2,11,,,,,,,787,31,102,15,13
01,2,13,,,,,,,1730,93,295,45,45
01,2,15,,,,,,,10276,496,1537,229,244
01,2,17,,,,,,,3856,204,664,74,101
01,2,19,,,,,,,2541,131,336,35,43
01,2,21,,,,,,,5123,230,670,114,126
01,2,23,,,,,,,1042,62,168,11,16
01,2,25,,,,,,,3419,232,571,54,86
01,2,27,,,,,,,1381,56,164,23,30
01,2,29,,,,,,,1042,54,137,20,25
01,2,31,,,,,,,3426,146,422,41,49
01,2,33,,,,,,,4656,212,602,60,91
01,2,35,,,,,,,1105,43,161,24,17
01,2,37,,,,,,,1326,51,149,13,17
01,2,39,,,,,,,3156,139,437,66,60
01,2,41,,,,,,,1490,69,237,40,39
01,2,43,,,,,,,8571,448,1203,138,203
01,2,45,,,,,,,4121,189,539,71,68
01,2,47,,,,,,,5267,224,681,84,87
01,2,49,,,,,,,5780,270,731,97,108
01,2,51,,,,,,,8563,484,1457,152,218
01,2,53,,,,,,,3791,208,553,57,68
01,2,55,,,,,,,11991,582,1658,254,246
01,2,57,,,,,,,1343,58,209,20,33
01,2,59,,,,,,,1998,79,292,49,32
01,2,61,,,,,,,2478,116,341,40,42
01,2,63,,,,,,,834,46,131,14,22
01,2,65,,,,,,,1529,73,244,27,29
01,2,67,,,,,,,2240,86,278,22,29
01,2,69,,,,,,,9852,463,1304,139,148
01,2,71,,,,,,,4900,232,665,73,114
01,2,73,,,,,,,81967,4484,13393,1543,2143
01,2,75,,,,,,,963,37,158,50,33
01,2,77,,,,,,,7962,385,1140,127,167
01,2,79,,,,,,,2497,126,328,58,56
01,2,81,,,,,,,9493,459,1396,131,193
01,2,83,,,,,,,5960,258,777,114,143
01,2,85,,,,,,,1501,96,260,43,31
01,2,87,,,,,,,2588,115,384,42,64
01,2,89,,,,,,,22711,1090,3164,344,453
01,2,91,,,,,,,1696,91,257,22,36
01,2,93,,,,,,,1833,103,237,29,43
01,2,95,,,,,,,7681,394,1169,167,165
01,2,97,,,,,,,49924,2881,7878,875,1210
01,2,99,,,,,,,2274,108,268,36,53
01,2,101,,,,,,,22760,1477,4254,544,634
01,2,103,,,,,,,9936,455,1326,162,197
01,2,105,,,,,,,1032,44,122,,12
01,2,107,,,,,,,1483,87,251,41,42
01,2,109,,,,,,,3050,151,477,46,68
01,2,111,,,,,,,2065,102,260,49,28
01,2,113,,,,,,,5360,285,863,75,101
01,2,115,,,,,,,9430,636,1550,205,261
01,2,117,,,,,,,13535,652,1902,196,329
01,2,119,,,,,,,1053,59,140,16,20
01,2,121,,,,,,,9694,423,1226,134,164
01,2,123,,,,,,,4956,234,762,134,126
01,2,125,,,,,,,15401,956,2728,388,404
01,2,127,,,,,,,10371,466,1407,200,237
01,2,129,,,,,,,1552,85,225,16,27
01,2,131,,,,,,,1215,59,164,24,28
01,2,133,,,,,,,2370,85,286,32,36
